from_addr,payments,recipients,usdc
0xdd95200278b69f413d6f95ec2fb3d6f56dea59bb,311,1,2.315000
0xcd845cb99dde1c0989a77c6913e4517920f62d49,309,1,2.067000
0xb3cb4654bc39c82eac46c0d1b122b137f06421ba,309,1,1.944000
0x58036314b04952b37bf77758abd6d806cfb24ecc,308,2,12.494000
0x1f143c95242d75eb806bf6ea5f90f82aa6ee1953,307,1,2.298000
0x14da4fceb35cae009f1ed5a6e72feca149595dbf,305,2,18.260000
0xb13eb9a5a650d86a0f173f8300ba28d281e5a6ce,304,28,7.404240
0x54e163e9b8edda194d83f46add921bfa5fc5f4e0,304,87,4.521000
0xfc0206e4fe671af303572d89723e2271c7481a67,302,1,2.415000
0x60b5460ed31c9775510658fe46f7922b8eea4b4d,302,1,2.014000
0x7a23bf84b36ffb93aa1b6dcf90b3e126e649397b,302,1,2.181000
0x464dc46fa2e938576e553a012a20955046fd48e7,301,1,2.225000
0x7a28b4a5dae366dee6f39b47f9d4e7297aca3e0b,301,1,2.124000
0x0fb21fa53524a416f861d5b6743bf6742896433c,300,1,2.042000
0x2fe874d1f4459ba62e563878b7d3ac4b371d67ce,300,1,2.069000
0xdf69aa5ff4766fb90e28a35f9b08b94c8af8557a,300,1,2.067000
0x6bd10d83f9b62168b74d54ca0dd8fe1ad5a77a65,299,1,2.008000
0xa3e18c1e409b9809d1bbb67bcf9ef4c95b2020d9,299,1,2.355000
0x4c3969a973e5a71d9cb992b538d3f0f5090aac03,299,1,2.010000
0xe79ec19c8b3fab9c14180ff7f228d79680611b7e,298,1,2.021000
0x3c83ef6119eb05ca44144f05b331dbee60656d5b,297,1,2662.928000
0xc6050481d76aef2c61344b277f54a712baf585ee,296,1,2.082000
0x9a4818d68cc8ea03ffe0ea9dd4ff9401f2ba3230,295,1,2.337000
0xf13d9dacb63d9f0695f8f1bd2d5f84c06dbea74f,294,1,2.058000
0x7c82acc6273d3773d6fac51950c20bd89e405975,294,1,2.142000
0x18bcaf33e2d8763845adfb686485a83041d09a14,294,1,1.881000
0xda2302e425a46194a7533852e76705cfb2fa200f,293,52,14.704000
0xa0328a74e9260d30320eaf69a716e939bf1bcd01,293,1,2.097000
0x3ec8c245c42ca872badfda5b9c29461e4560c799,293,1,2.058000
0x03aadae5bb2a705ddb77e4f68ba5345efef85132,292,1,2.160000
0x12037cfd619192520d4982352e1c94e686e46026,291,1,2.159000
0xd05e4a34f9ad1c28b6186c5dfbc80e88e36e2442,291,1,2.120000
0x2533022cafa6505042e4928c9706f4728eef04a1,291,28,9.626300
0x532587c35b46ebb7d8e3f2bce8f4cd948a235da6,290,1,2.044000
0xb5f11c660a5b3386c4e805758230ab8c96188611,290,1,2.096000
0x644678ad37833c0d52f0170f1f73a5e62bc3e6d5,290,288,2.997478
0x035a454911583ad2eed85cd9b5e28b784d9e2a55,290,5,20.336500
0x470f1c0051da4bdf9378fa33e8c34251fe63d040,290,1,1.975000
0x4e5d89a4d06139a3f7851da24a196d1e4494528b,289,3,7.762200
0x0d4d5e5eab1854ebe4a4c875a0e78c2be577555c,289,32,3.485000
0xb6334888e9bd437af3eef923f31999b4a269d962,288,1,2.150000
0xd16816cf08bb2cd996be8685b8626afe6a35f06d,288,1,1.994000
0x35ed96655dd041d840ea7a1b891c0e53b3874f58,288,1,1.964000
0x2ede2872ccd2c50a969e32fd438333af124fbcaa,288,1,2.079000
0x647c7f451dd59d0162d70b67dcfea9aaf49075c1,287,1,2.335000
0xfe21a68f21d556a3c4274a44c2fb5410c50cda1c,287,2,14.822000
0x9dd5e3a608ba321c5205688d66e11e81b67e08c2,286,21,1.308000
0x0ae3c6f4a67898ff94b6ac529a17699a6189326f,286,1,2.040000
0x5b37b24e92552f286d7ae82630c8957ccab6bd9c,285,1,27.960000
0x567c9e88f80aa1c8bbe29960e03728e0ded02b98,285,1,1.982000
0xb1de107aa96c6c55c05abb552bd224e0cc813d22,285,1,1.978000
0xafb9de04091e7318a58728f534bc6c4ad1bb8544,285,4,7.667200
0xeee0b8a38d0c55686abda7437cde5ecc73e9b11b,285,1,1.968000
0xaad756a533854cc088a499093dec28e9deb5f247,284,1,1.982000
0x8d87810742c1ed80859c6012986813c5dbc6ad7b,284,1,1.929000
0x4855b06aa4c8508d9d0a551ee821147652494841,283,1,2.035000
0x734c08705ea31726347c5855411d999139ce7699,283,2,5.406000
0x23a2820ecd9b86e476fc4095c2bfb7f65e2c84ff,282,1,1.873000
0x7ac3c52e89b958836c6ed0f16ecf504a3bed623f,282,1,2.014000
0xbcf233677bc49bbd8f9df7ab97cfb7fc4071c308,282,1,2.108000
0x3a17ca27c7d10c047818ecc3dc064419b052f2c4,282,1,2.156000
0xbe41d7813bfe40b8979d9ee211139f1e986cb317,281,1,2.093000
0x0fcbd49bf5faa1a132835e66ecf065bedd5a8774,281,5,7.481900
0xdd16911c486da7083d3ae53b6ff4fd888898fe96,280,1,1.889000
0x9871b61390a3f24ce5a4574fdc0a9b7989d5d971,280,1,1.887000
0x5e0021da376898ccf128172f8561a065703d06b3,280,1,1.967000
0xacb29332e4026eafafc7b1d03740f930f8b42c05,279,1,1.955000
0x09ca200b0ff044ac445382f68782a235910855a0,278,1,1.897000
0x35f422dc36752dfcb055f5ce5efb0e0230f3f720,278,1,2.029000
0xc65a451047094cdd723fff77334d3b9ff8cf28e7,277,2,1.297000
0x404b92a3d42d28514d0ad72e1c0209b5759b1df2,277,3,7.190000
0xe2c9ff8832e3d590bfc563bf3efcccb05c04e95e,276,1,1.873000
0x254a4ec1106ca0416a28125f0a0e6069b81ed091,276,27,6.789600
0x57c397758ab28624130fc78dda2b6799168be08c,276,1,2.011000
0x57dde46408d08821a592592366e90cf44b17c373,275,3,3.290000
0x527f9c48e7f7202230a805278c969b9ac11a989b,275,1,1.813000
0x868cf981cd12bb32b12edf9949dc87df4e76af50,274,1,2.074000
0xd344c583312266c5f9602aa133424c2eb159b3fd,273,1,1.851000
0x014025fde093f8701d86e9f38e2c3a9b779cb5c7,271,1,233.857606
0x97f64515c2dfe6cebb027bdb4debe78efe8fb47d,269,1,1.963000
0xb829a7886636bcf14e5c4db3f9ecfdcb960ea5fa,266,4,1.210000
0x9f73cd6bde1ade734a5c119717d23f778e3172c9,263,3,9.769000
0xe8dfb966dfd77ff5aa79ec8f8e8415a8b1c02b06,262,1,1.797000
0xe3e679e2b75f33f503ee6644e5933b4bcd7aae85,262,1,1.852000
0x943e7cf12a7c2a3c88f54fde013f754f506d4f1d,261,1,7.430328
0x0567abb38e84ff9676a5b9b469b0255cdabe13f4,261,1,2.201000
0xdd25176339ec3be651b946448a34233051a63468,259,1,1.819000
0x85af15f3d7ab1c4ca1abbc97a3fcd3f9615ec2a7,258,1,24.630000
0xc5264fad8d3a8a6f9e08597abe172bc4e056b27a,256,1,19.812000
0x3897f20c4de1557ba965d7404a0a36739992178b,255,1,23.135000
0xe252a9c7b602924650d834e2170982ebdd4f29e5,251,2,2.168000
0x9787266a4427d4515359aa68a952a6a7978ce114,250,2,23.320400
0x888888359e981b5225ca48fbcdceff702fc3b888,249,1,139.345951
0x5f9c874edd2182aae20a718738661a7ae05c4353,247,1,0.865000
0xbbdb7da7c240d2d8caecf17a5bd2a4e1d0b4595e,247,6,29.644600
0xcdce75a1b6487ae4c25e37c0b80daa0b6f735cd1,246,1,232.489000
0xe71fca10c3dde0f49a0068ef3ebd5e7edae192ef,245,1,2.447000
0xca11d50b661310a915b34ff17b7e9e9f74c1388b,244,5,3.443000
0xf7ce69da27bb083a6fc1e9dc5fef26899ab36db7,238,1,1.564000
0xc47e2c704941820f40a6388cf0d1f7a4ea26e801,237,7,2.161000
0x41fdaadfd3841517588ff60b5c5ab6b8a4eaf296,236,3,0.342000
0x6b0522ab8f36faddc2562a63b31f3f71816dcfcb,236,1,4.160000
0x36ff31e05d2af834759f58473681957955893161,232,3,4.119000
0x74f22b62597b1283e6dab6147883e1eb0e395bdc,231,1,0.657000
0x2e8f90bc707a4060e94431670fb5fbf681adb522,230,4,3.544000
0x141c1c8df39837f7b838f07345c9714f7ce41e56,229,5,13.001200
0x85bdb78ad4c39565f767da6733a071f86baedb6b,229,9,15.684666
0x7f85c213969179f9255b3361d7e34f031de5eb9c,228,1,45.660000
0x4b934e5e1d5f1fe2e71963a126c3bbc310dedf45,228,1,1.326000
0x1b205071515667bca455af1b69a83fd91b2769b3,228,26,1.456000
0xd554226ec1f06c87666626951010c61d2d01b764,227,1,53.038500
0x7d431e7eaeb55482fdf4b8962d18fee3b02e1280,226,9,1.560000
0xf5a65ae916474da7fb0b47c6182e6c4eb63a0c80,222,133,18.518058
0xaf573208fca75a5cb12e962ecf8b9dddc330b382,216,2,3.380600
0xd6055ff34bd5de3fd1093b2dde9ac959888cffc2,216,3,3.010000
0x0acd1c9373adef4598b44b844d9f6f6cfd7c11f5,215,1,5.289600
0xefec0ac3b360d419d6cd9d9436f40f132f7e1c64,214,3,5.420400
0xd9b102287a0a03e8977aedac6e99271fe55d6a43,212,2,4.846400
0x8f2c1b0e308e56e469a7512b2b9ada899e7e9295,212,1,20.930000
0x4c261bcb9d0e19da89d8e99a4eec0518d5e2237c,211,3,1.648000
0x599365bba1b90dd2d2dc5e700513d5ab1d1f42a0,210,3,20.706400
0x4c30fcdf35b9449ff280fed72b25341cacd66455,209,1,4.200000
0x8b551fae8fb5c254de13dfe1674d2c3458b632a4,209,1,4.594000
0x406af79bfd62a22ec87f71255fd22b56605fecb2,207,1,0.284200
0x2d29318dbe3acdd8ea2923ec95d4c2aad48fd8f3,207,3,7.280000
0x73b4c9335fa239f9c6df3d28d5bf5d3cdf4de736,206,5,26.076046
0x30d1d76598c3e657c0b3de099da0f49ca0b6a421,206,2,12.302000
0x2acb854ac185dad5d7486a45e91a5863d3fca6a1,205,1,3.179164
0x80c82b3f031f16c242988bdbfc7716230a1110b7,205,7,9.318200
0x9a6d0d6677377b7356a850e0dec00473244c9715,203,1,9.222800
0x5fa77c457a1afa353d495991db548bcc2f60057c,202,1,6.113000
0x5a9ae09e27e47afcc20904c13936d0ed14649311,198,5,13.920000
0x8ca364ec02307923505e9ded210fef622de62d15,197,1,3.227800
0x0145ee0b440300928291668edc5557f4b0779087,196,1,0.196000
0xf777fe7f2ebf6912d9e1005bee79d603f7227d43,196,1,8.000000
0x6f9df77aec5ec30fa0b156b8579b780e448c8ba0,196,1,0.196000
0xf348c3212896edd95a7906f1a145afa954e94909,196,1,2.653418
0x3e9f20304893e1a6555b2ea1b3b87c31dcaf4165,195,1,3.218000
0x91e8f2a9685703d30afcf6825d470e509cdb436f,195,2,6.112400
0xcae31081f49272357690122a400a81e6f7afaafe,195,1,4.696400
0x7cc2b3b6af760ee1b9e43c63b4a06df7bb1ae7b2,194,1,0.194000
0x30a83c52aa03312ec69d8d17f1c8c01a4628fa2d,194,4,12.985400
0x9bac0cfa9b3b7cfc66145eb6823e93527c4db0c3,194,1,3.163600
0xee68c7ad76aead6fa2ebe29e8765710b1b0c403b,194,2,11.214000
0xd50d2454acd0015ee41ef7522fc41fcef79829af,193,1,3.766600
0x33463419cbc23c7cc8b49409c35d199ca897993c,193,1,3.754600
0x67b347a8188177fbdaea38d357e11f58bf8d8f08,193,2,2.668437
